student_id,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
id-0,female,group B,bachelor's degree,standard,,72,72,74
id-1,female,group C,some college,standard,completed,69,90,88
id-2,female,group B,master's degree,standard,,90,95,93
id-3,male,group A,associate's degree,free/reduced,,47,57,44
id-4,male,group C,some college,standard,,76,78,75
id-5,female,group B,associate's degree,standard,,71,83,78
id-6,female,group B,some college,standard,completed,88,95,92
id-7,male,group B,some college,free/reduced,,40,43,39
id-8,male,group D,high school,free/reduced,completed,64,64,67
id-9,female,group B,high school,free/reduced,,38,60,50
id-10,male,group C,associate's degree,standard,,58,54,52
id-11,male,group D,associate's degree,standard,,40,52,43
id-12,female,group B,high school,standard,,65,81,73
id-13,male,group A,some college,standard,completed,78,72,70
id-14,female,group A,master's degree,standard,,50,53,58
id-15,female,group C,some high school,standard,,69,75,78
id-16,male,group C,high school,standard,,88,89,86
id-17,female,group B,some high school,free/reduced,,18,32,28
id-18,male,group C,master's degree,free/reduced,completed,46,42,46
id-19,female,group C,associate's degree,free/reduced,,54,58,61
id-20,male,group D,high school,standard,,66,69,63
id-21,female,group B,some college,free/reduced,completed,65,75,70
id-22,male,group D,some college,standard,,44,54,53
id-23,female,group C,some high school,standard,,69,73,73
id-24,male,group D,bachelor's degree,free/reduced,completed,74,71,80
id-25,male,group A,master's degree,free/reduced,,73,74,72
id-26,male,group B,some college,standard,,69,54,55
id-27,female,group C,bachelor's degree,standard,,67,69,75
id-28,male,group C,high school,standard,,70,70,65
id-29,female,group D,master's degree,standard,,62,70,75
id-30,female,group D,some college,standard,,69,74,74
id-31,female,group B,some college,standard,,63,65,61
id-32,female,group E,master's degree,free/reduced,,56,72,65
id-33,male,group D,some college,standard,,40,42,38
id-34,male,group E,some college,standard,,97,87,82
id-35,male,group E,associate's degree,standard,completed,81,81,79
id-36,female,group D,associate's degree,standard,,74,81,83
id-37,female,group D,some high school,free/reduced,,50,64,59
id-38,female,group D,associate's degree,free/reduced,completed,75,90,88
id-39,male,group B,associate's degree,free/reduced,,57,56,57
id-40,male,group C,associate's degree,free/reduced,,55,61,54
id-41,female,group C,associate's degree,standard,,58,73,68
id-42,female,group B,associate's degree,standard,,53,58,65
id-43,male,group B,some college,free/reduced,completed,59,65,66
id-44,female,group E,associate's degree,free/reduced,,50,56,54
id-45,male,group B,associate's degree,standard,,65,54,57
id-46,female,group A,associate's degree,standard,completed,55,65,62
id-47,female,group C,high school,standard,,66,71,76
id-48,female,group D,associate's degree,free/reduced,completed,57,74,76
id-49,male,group C,high school,standard,completed,82,84,82
id-50,male,group E,some college,standard,,53,55,48
id-51,male,group E,associate's degree,free/reduced,completed,77,69,68
id-52,male,group C,some college,standard,,53,44,42
id-53,male,group D,high school,standard,,88,78,75
id-54,female,group C,some high school,free/reduced,completed,71,84,87
id-55,female,group C,high school,free/reduced,,33,41,43
id-56,female,group E,associate's degree,standard,completed,82,85,86
id-57,male,group D,associate's degree,standard,,52,55,49
id-58,male,group D,some college,standard,completed,58,59,58
id-59,female,group C,some high school,free/reduced,,0,17,10
id-60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
id-61,male,group A,some high school,free/reduced,,39,39,34
id-62,male,group A,associate's degree,free/reduced,,62,61,55
id-63,female,group C,associate's degree,standard,,69,80,71
id-64,female,group D,some high school,standard,,59,58,59
id-65,male,group B,some high school,standard,,67,64,61
id-66,male,group D,some high school,free/reduced,,45,37,37
id-67,female,group C,some college,standard,,60,72,74
id-68,male,group B,associate's degree,free/reduced,,61,58,56
id-69,female,group C,associate's degree,standard,,39,64,57
id-70,female,group D,some college,free/reduced,completed,58,63,73
id-71,male,group D,some college,standard,completed,63,55,63
id-72,female,group A,associate's degree,free/reduced,,41,51,48
id-73,male,group C,some high school,free/reduced,,61,57,56
id-74,male,group C,some high school,standard,,49,49,41
id-75,male,group B,associate's degree,free/reduced,,44,41,38
id-76,male,group E,some high school,standard,,30,26,22
id-77,male,group A,bachelor's degree,standard,completed,80,78,81
id-78,female,group D,some high school,standard,completed,61,74,72
id-79,female,group E,master's degree,standard,,62,68,68
id-80,female,group B,associate's degree,standard,,47,49,50
id-81,male,group B,high school,free/reduced,,49,45,45
id-82,male,group A,some college,free/reduced,completed,50,47,54
id-83,male,group E,associate's degree,standard,,72,64,63
id-84,male,group D,high school,free/reduced,,42,39,34
id-85,female,group C,some college,standard,,73,80,82
id-86,female,group C,some college,free/reduced,,76,83,88
id-87,female,group D,associate's degree,standard,,71,71,74
id-88,female,group A,some college,standard,,58,70,67
id-89,female,group D,some high school,standard,,73,86,82
id-90,female,group C,bachelor's degree,standard,,65,72,74
